"Population","Mean"
"CYP_1",0.0786913192010855
"EBAT_1",0.0791611490282506
"EBHU_1",0.0725003205095635
"EBPL_1",0.0829732915449499
"EERU_1",0.0724521211561749
"EERU_2",0.0712240491041395
"EEUA_1",0.0766568019778496
"EEUA_2",0.0790924917495794
"TRK_1",0.0750263815939037
"WBDE_1",0.0726020368440425
"WBIT_1",0.0732978799715615
"WEES_1",0.0751971149101148
"WEES_2",0.0766328975112539
"WEFR_1",0.0689112916473508
"WEFR_2",0.0729562333529251
"CNXJ",0.116940216090838
"CnOther",0.115918576432592
"CnQTP",0.146786077164638
"ISR",0.120515880153953
"DGN",0.323278494086987
