ACCESSION,NAME
SRR203502,DGN_1
SRR203226,DGN_2
SRR654551,DGN_3
SRR654662,DGN_4
SRR248130,DGN_5
SRR654664,DGN_6
SRR203336,DGN_7
SRR203232,DGN_8
SRR326933,DGN_9
SRR204007,DGN_10
SRR203474,DGN_11
SRR326790,DGN_12
SRR202089,DGN_13
SRR353759,DGN_14
SRR346921,DGN_15
SRR248129,DGN_16
SRR654553,DGN_17
SRR210787,DGN_18
SRR326800,DGN_19
SRR203330,DGN_20
SRR210794,DGN_21
SRR326796,DGN_22
SRR203496,DGN_23
SRR203233,DGN_24
SRR203069,DGN_25
SRR203473,DGN_26
SRR203068,DGN_27
SRR654669,DGN_28
SRR202123,DGN_29
SRR204018,DGN_30
SRR202128,DGN_31
SRR202124,DGN_32
SRR203319,DGN_33
SRR203467,DGN_34
SRR342395,DGN_35
SRR203230,DGN_36
SRR203468,DGN_37
SRR203234,DGN_38
SRR203238,DGN_39
SRR203506,DGN_40
